Incident Number,Opened At,Resolved At,Closed At,Category,Subcategory,Priority,Impact,Urgency,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Reopen Count,SLA Met,Resolution Hours,Caller ID,Month Year,Quarter
INC103891,2021-12-04 18:07:13,2021-12-06 21:07:13,2021-12-07 07:07:13,Network,Laptop,Medium,Medium,Low,Closed,Database Team,Katie Jones,Bangalore,Operations,Active Directory,Writer second agree real anyone which list.,4,Yes,51,Brittany Anderson,Dec-2021,Q4
INC103892,2025-02-28 04:29:50,2025-03-01 04:29:50,2025-03-01 17:29:50,Network,Oracle,Critical,High,High,Closed,Security Team,Randy Montoya,Mumbai,Marketing,VPN Gateway,East happy area bar skin benefit see measure.,3,Yes,24,Elizabeth Cooley MD,Feb-2025,Q1
INC103893,2021-06-16 10:56:08,2021-06-18 08:56:08,2021-06-19 06:56:08,Hardware,Server,Low,Low,Medium,Resolved,Security Team,David Mcpherson,Hyderabad,HR,Web Server,Join price great option too throughout.,0,Yes,46,Jennifer Hines,Jun-2021,Q2
INC103894,2025-12-22 23:24:45,2025-12-26 23:24:45,2025-12-27 09:24:45,Database,Firewall,Low,Medium,Low,Resolved,Linux Team,Nicole Patel,Pune,Sales,Exchange Server,Case hit along guy forward.,5,Yes,96,Robert Pena,Dec-2025,Q4
INC103895,2024-08-03 06:52:06,2024-08-05 22:52:06,2024-08-06 03:52:06,Security,Oracle,Low,High,High,Resolved,Database Team,Timothy Richardson,Pune,Finance,Exchange Server,Contain number long base word beautiful.,4,No,64,Kimberly Carpenter,Aug-2024,Q3
INC103896,2024-09-08 00:48:57,2024-09-10 16:48:57,2024-09-11 06:48:57,Cloud,Server,Medium,High,High,Resolved,Service Desk,Amy Barnett,Kolkata,Marketing,Active Directory,Trouble food shake tree program read.,0,Yes,64,Brian Carter,Sep-2024,Q3
INC103897,2025-01-11 19:10:15,2025-01-15 11:10:15,2025-01-15 14:10:15,Hardware,SQL,Medium,Low,Low,Closed,Network Team,Nancy Mcbride,Mumbai,Operations,Exchange Server,Fact very general story respond authority detail political world.,1,No,88,Sharon Harris,Jan-2025,Q1
INC103898,2021-02-18 19:40:10,2021-02-19 00:40:10,2021-02-19 23:40:10,Hardware,Server,Medium,High,Medium,On Hold,Database Team,Dana Blair,Mumbai,Finance,Web Server,Technology seat interesting design contain east challenge nearly.,4,Yes,5,Daniel Howell,Feb-2021,Q1
INC103899,2025-10-21 07:39:00,2025-10-22 16:39:00,2025-10-22 19:39:00,Software,Printer,Low,Low,Low,New,Database Team,James Hall,Delhi,IT,SAP Server,Thank various shake whose agent necessary receive candidate however.,4,No,33,Stephen Tucker,Oct-2025,Q4
INC103900,2023-06-08 17:38:44,2023-06-08 18:38:44,2023-06-09 06:38:44,Security,VPN,Medium,Low,High,In Progress,Network Team,Donald Hamilton,Chennai,HR,CRM Server,Pay difference relate early call general though expert.,2,No,1,Michelle Smith,Jun-2023,Q2
INC103901,2022-10-01 06:34:42,2022-10-03 00:34:42,2022-10-03 14:34:42,Network,Laptop,High,High,Medium,On Hold,Application Support,Robert Hill,Bangalore,Marketing,SAP Server,Wrong foreign line toward successful election.,2,No,42,Dalton Harris,Oct-2022,Q4
INC103902,2025-12-18 14:18:37,2025-12-19 08:18:37,2025-12-20 02:18:37,Security,VPN,Low,Low,High,New,Cloud Team,Chris Campbell,Delhi,Operations,Active Directory,Benefit say carry require minute quality study.,0,Yes,18,Antonio Rodriguez,Dec-2025,Q4
INC103903,2022-12-20 10:23:20,2022-12-21 22:23:20,2022-12-22 16:23:20,Software,SQL,Low,Medium,High,Resolved,Windows Team,Mary Harper,Mumbai,Support,CRM Server,Right rule economic difficult paper art together order teach.,3,No,36,Kevin Blankenship,Dec-2022,Q4
INC103904,2024-04-02 08:55:27,2024-04-05 06:55:27,2024-04-05 13:55:27,Network,Oracle,High,High,High,In Progress,Application Support,Shirley Martin,Delhi,Support,VPN Gateway,Throughout eye specific six along generation ahead government box west.,4,No,70,Joshua Turner,Apr-2024,Q2
INC103905,2022-07-12 13:18:47,2022-07-12 19:18:47,2022-07-13 18:18:47,Network,Linux,Critical,Low,Low,On Hold,Cloud Team,Christine Gray,Bangalore,Sales,CRM Server,Produce through view rock nature effort lead fire.,3,No,6,Leah Morgan,Jul-2022,Q3
INC103906,2022-07-19 19:38:56,2022-07-23 14:38:56,2022-07-23 22:38:56,Hardware,Firewall,Low,Low,High,Resolved,Service Desk,Amy Lawrence,Mumbai,HR,CRM Server,Rock hope win special maintain win debate exactly pay measure.,1,Yes,91,Stephanie Phillips,Jul-2022,Q3
INC103907,2022-07-13 07:37:24,2022-07-15 09:37:24,2022-07-15 19:37:24,Cloud,Linux,Medium,Medium,Medium,In Progress,Windows Team,Rachel Olson,Bangalore,Sales,Power BI Server,Yeah box suffer personal force population.,3,No,50,Dawn Lopez,Jul-2022,Q3
INC103908,2025-05-14 11:08:27,2025-05-17 15:08:27,2025-05-17 18:08:27,Software,VPN,High,Low,Medium,Closed,Database Team,James Brennan,Pune,HR,Active Directory,Like run ever suffer song that sit high.,0,Yes,76,Christine Schmitt,May-2025,Q2
INC103909,2026-02-12 21:18:49,2026-02-16 09:18:49,2026-02-16 17:18:49,Software,Server,Medium,High,Low,In Progress,Windows Team,Jeremiah Adams,Mumbai,Marketing,CRM Server,Coach very old question.,4,No,84,Gregory Oliver,Feb-2026,Q1
INC103910,2025-03-06 21:09:26,2025-03-09 21:09:26,2025-03-10 00:09:26,Cloud,Firewall,Low,High,High,Closed,Application Support,Toni Allen PhD,Chennai,Marketing,SAP Server,American network spend Mrs but attorney job.,4,No,72,Patrick Galvan,Mar-2025,Q1
INC103911,2025-01-05 02:35:35,2025-01-06 11:35:35,2025-01-06 18:35:35,Security,Windows,Critical,Low,High,New,Windows Team,Sandra Hancock,Mumbai,HR,Web Server,Rich scene development you accept movement.,0,No,33,Laura Hooper,Jan-2025,Q1
INC103912,2023-12-24 04:53:24,2023-12-27 09:53:24,2023-12-27 17:53:24,Database,Server,Low,High,Medium,Resolved,Windows Team,Christina Lucero,Mumbai,IT,Exchange Server,Bit show certainly enough party radio road fact place music several.,2,Yes,77,Michael Hughes,Dec-2023,Q4
INC103913,2022-06-21 01:49:36,2022-06-22 15:49:36,2022-06-23 08:49:36,Hardware,Windows,Medium,High,Medium,Resolved,Security Team,Robert Arias,Bangalore,HR,Active Directory,Enjoy down too able.,5,No,38,Tara Morris,Jun-2022,Q2
INC103914,2022-05-01 22:35:58,2022-05-02 08:35:58,2022-05-02 18:35:58,Software,Linux,High,Low,Medium,On Hold,Service Desk,Jenna Garza,Bangalore,Sales,Web Server,Share mission fear lose measure thought.,1,No,10,Adam Price,May-2022,Q2
INC103915,2024-04-18 04:51:50,2024-04-20 07:51:50,2024-04-21 04:51:50,Database,Firewall,Low,High,High,Closed,Database Team,Jeremy Humphrey,Pune,Support,Exchange Server,Realize group lead fill rise into piece music down.,5,Yes,51,Chad Farrell DDS,Apr-2024,Q2
INC103916,2022-11-01 04:33:20,2022-11-04 06:33:20,2022-11-04 16:33:20,Security,Linux,Low,Medium,Low,Closed,Security Team,Jeffrey Mcdonald,Mumbai,Operations,Oracle DB,Yet sort evening lead west wish record every.,5,Yes,74,Kathleen Sanchez,Nov-2022,Q4
INC103917,2022-01-20 19:13:59,2022-01-21 08:13:59,2022-01-21 15:13:59,Database,Windows,High,Low,Low,New,Cloud Team,Diane Carney,Chennai,Finance,VPN Gateway,Value actually sound current plant.,3,Yes,13,Caleb Butler,Jan-2022,Q1
INC103918,2025-03-03 08:05:56,2025-03-06 12:05:56,2025-03-07 10:05:56,Database,Firewall,High,Medium,Low,On Hold,Service Desk,Daniel Sandoval,Mumbai,Marketing,CRM Server,Quality head hold black large which fight authority foreign.,2,No,76,David Alexander,Mar-2025,Q1
INC103919,2025-12-06 21:11:57,2025-12-07 06:11:57,2025-12-08 04:11:57,Application,Oracle,Medium,Medium,Low,Closed,Database Team,Jane Little,Delhi,Marketing,Active Directory,Draw discover professional among others effort team second.,3,No,9,Dawn Lopez,Dec-2025,Q4
INC103920,2024-06-26 08:32:59,2024-06-28 11:32:59,2024-06-28 22:32:59,Database,Oracle,Critical,Low,High,Closed,Network Team,Amanda Thompson,Bangalore,Sales,VPN Gateway,Land tell traditional listen forget.,0,Yes,51,Ashley Ferguson,Jun-2024,Q2
INC103921,2022-02-24 22:15:43,2022-02-27 15:15:43,2022-02-28 00:15:43,Network,Server,High,High,High,Closed,Network Team,Adrian White,Chennai,Operations,CRM Server,Would us will our today.,1,No,65,Amy Tate,Feb-2022,Q1
INC103922,2022-02-25 19:05:19,2022-03-01 12:05:19,2022-03-01 17:05:19,Application,Oracle,High,Low,Low,New,Windows Team,Randy Payne,Pune,Support,CRM Server,Choose end truth food very according human.,0,Yes,89,Jessica Warren MD,Feb-2022,Q1
INC103923,2021-08-19 08:57:15,2021-08-20 03:57:15,2021-08-20 20:57:15,Email,Server,Medium,High,High,New,Service Desk,Michelle Quinn,Hyderabad,Sales,VPN Gateway,Standard loss create that condition game people word only.,0,No,19,James Chavez,Aug-2021,Q3
INC103924,2021-02-13 17:09:26,2021-02-16 20:09:26,2021-02-17 18:09:26,Email,Firewall,Critical,High,Low,New,Cloud Team,William Munoz,Kolkata,Support,CRM Server,List end very use want assume.,3,No,75,Judy Blanchard,Feb-2021,Q1
INC103925,2024-05-05 23:43:02,2024-05-06 05:43:02,2024-05-06 21:43:02,Software,Firewall,Low,Low,Low,Resolved,Linux Team,Gregory Kelley,Mumbai,Finance,Web Server,Necessary side yet improve contain send ask.,3,No,6,John Castillo,May-2024,Q2
INC103926,2022-06-27 00:46:50,2022-06-28 22:46:50,2022-06-29 15:46:50,Database,Firewall,High,High,Medium,Resolved,Windows Team,Timothy Alexander,Kolkata,IT,VPN Gateway,Long fear each history.,4,Yes,46,Justin Evans,Jun-2022,Q2
INC103927,2021-03-22 23:19:12,2021-03-25 16:19:12,2021-03-26 09:19:12,Database,Printer,Low,Medium,Medium,Resolved,Database Team,Sandra Jones,Bangalore,Finance,Power BI Server,Former successful movie each all turn decision born.,1,Yes,65,Daniel Price,Mar-2021,Q1
INC103928,2024-11-09 00:19:05,2024-11-11 03:19:05,2024-11-11 09:19:05,Hardware,Laptop,Low,Low,Low,In Progress,Network Team,Roger Bishop,Kolkata,IT,Exchange Server,Free drive everyone ever fish popular generation person person space.,3,No,51,Daniel Howell,Nov-2024,Q4
INC103929,2025-01-17 22:43:21,2025-01-21 09:43:21,2025-01-21 20:43:21,Security,Firewall,Medium,Medium,High,In Progress,Service Desk,Ronald Wright,Chennai,Marketing,SAP Server,Sister everything so about leave stay.,3,Yes,83,Jillian Joseph,Jan-2025,Q1
INC103930,2022-10-05 13:50:43,2022-10-08 17:50:43,2022-10-08 19:50:43,Software,Linux,Low,High,High,In Progress,Service Desk,Jenna Sullivan,Hyderabad,Operations,Power BI Server,Look draw history southern up season.,3,No,76,Katie Briggs,Oct-2022,Q4
INC103931,2025-04-05 19:53:59,2025-04-06 17:53:59,2025-04-07 09:53:59,Hardware,Printer,High,High,Medium,Resolved,Cloud Team,Lisa Ingram,Hyderabad,Marketing,Active Directory,Yes remain past mother PM bit standard adult plan.,4,No,22,Joshua Romero,Apr-2025,Q2
INC103932,2021-02-15 10:28:13,2021-02-19 09:28:13,2021-02-19 15:28:13,Hardware,Laptop,Low,Medium,Medium,On Hold,Database Team,Paul Alvarez,Hyderabad,Support,Active Directory,Network ahead thought daughter the opportunity culture.,3,No,95,Jessica Frederick,Feb-2021,Q1
INC103933,2025-06-27 14:17:34,2025-06-27 17:17:34,2025-06-28 00:17:34,Hardware,SQL,Low,High,High,Closed,Application Support,James Lawson,Delhi,HR,Web Server,Edge among let like impact land international.,5,No,3,Timothy Fields,Jun-2025,Q2
INC103934,2026-07-18 04:38:01,2026-07-18 13:38:01,2026-07-18 14:38:01,Network,Oracle,Critical,Medium,High,Closed,Service Desk,Ryan Frey,Chennai,Support,CRM Server,Join even others think.,1,No,9,Brett Young,Jul-2026,Q3
INC103935,2023-09-30 22:41:08,2023-10-01 13:41:08,2023-10-01 18:41:08,Hardware,Laptop,Low,High,High,In Progress,Cloud Team,Heather Jackson,Bangalore,Operations,Active Directory,Human fast campaign page white so teach paper throughout.,1,No,15,Mrs. Angel Gibson,Sep-2023,Q3
INC103936,2024-04-10 06:03:25,2024-04-13 04:03:25,2024-04-13 16:03:25,Network,Firewall,High,Medium,High,Closed,Security Team,Katrina Price,Pune,Operations,Web Server,Fish establish resource than really last idea structure budget.,4,No,70,Kelli Moore,Apr-2024,Q2
INC103937,2025-10-17 17:01:26,2025-10-20 16:01:26,2025-10-21 05:01:26,Cloud,SQL,Critical,Low,Medium,Resolved,Security Team,Robert Henry,Bangalore,Marketing,Oracle DB,Class fear interest here investment.,1,Yes,71,Dana Clark,Oct-2025,Q4
INC103938,2023-10-16 07:05:49,2023-10-19 05:05:49,2023-10-19 20:05:49,Email,Linux,Low,Low,Medium,New,Cloud Team,Kayla Rubio,Pune,Finance,Oracle DB,Her bill truth provide western put support event service.,2,Yes,70,Daniel Bray,Oct-2023,Q4
INC103939,2023-11-25 07:03:51,2023-11-27 10:03:51,2023-11-27 12:03:51,Software,Oracle,Low,High,Medium,In Progress,Database Team,Ronald Sanchez,Kolkata,Finance,Oracle DB,Strategy very fill physical care manager morning main.,4,Yes,51,Jody Schmidt,Nov-2023,Q4
INC103940,2023-03-28 02:49:00,2023-03-30 20:49:00,2023-03-31 03:49:00,Hardware,Oracle,Medium,High,High,Closed,Database Team,Kara Martin,Delhi,Operations,Power BI Server,Care member ok camera own eye talk.,0,No,66,William Morris,Mar-2023,Q1
INC103941,2023-12-20 04:52:37,2023-12-22 11:52:37,2023-12-22 16:52:37,Cloud,Linux,Medium,High,Low,On Hold,Security Team,Katherine Butler,Hyderabad,IT,Exchange Server,Society head election than improve person.,3,No,55,Lindsey Gonzalez,Dec-2023,Q4
INC103942,2026-03-05 20:48:21,2026-03-08 17:48:21,2026-03-09 01:48:21,Database,Linux,High,Medium,Medium,Resolved,Network Team,Donald Rangel,Pune,Support,CRM Server,Trade goal there what still meeting partner role.,5,Yes,69,Crystal Sandoval,Mar-2026,Q1
INC103943,2024-08-14 03:52:39,2024-08-16 20:52:39,2024-08-17 08:52:39,Cloud,Printer,Medium,Low,High,New,Application Support,Brian Kaufman,Hyderabad,Operations,Active Directory,East image across walk like.,0,No,65,Katie Morgan,Aug-2024,Q3
INC103944,2025-06-28 06:03:31,2025-06-29 15:03:31,2025-06-30 07:03:31,Software,SQL,Medium,Low,Low,In Progress,Network Team,Michael Chandler,Chennai,Sales,Power BI Server,Range imagine be nature big rather.,5,No,33,Alexis Barrett,Jun-2025,Q2
INC103945,2024-03-17 04:19:07,2024-03-20 09:19:07,2024-03-20 22:19:07,Cloud,Server,Critical,Medium,High,In Progress,Network Team,Antonio Gibson,Kolkata,Operations,Power BI Server,Perhaps chance reality provide lay moment.,4,No,77,John Lawrence,Mar-2024,Q1
INC103946,2021-01-28 07:23:54,2021-01-28 13:23:54,2021-01-29 05:23:54,Network,Firewall,Critical,Medium,Low,In Progress,Service Desk,Felicia Garcia,Chennai,Operations,VPN Gateway,Officer ahead draw affect all I experience seat standard manage.,2,Yes,6,Dawn Gonzalez,Jan-2021,Q1
INC103947,2026-05-08 13:08:31,2026-05-12 01:08:31,2026-05-12 11:08:31,Network,SQL,Low,High,Low,Closed,Service Desk,Marcus Mills,Kolkata,Finance,CRM Server,Approach center need child third involve vote tough than teach.,4,No,84,Kathy Collins,May-2026,Q2
INC103948,2022-06-26 16:48:15,2022-06-28 21:48:15,2022-06-29 11:48:15,Cloud,SQL,Critical,High,High,In Progress,Security Team,Madison Wilson,Kolkata,Finance,Active Directory,Provide image what entire receive anything.,3,No,53,William Porter,Jun-2022,Q2
INC103949,2021-01-31 01:04:35,2021-01-31 09:04:35,2021-01-31 16:04:35,Database,Linux,Critical,Medium,High,On Hold,Database Team,Melissa Gonzalez,Mumbai,Sales,CRM Server,Already yeah mission each dark good hit family meet.,3,Yes,8,Melissa Hopkins,Jan-2021,Q1
INC103950,2025-10-08 07:18:57,2025-10-09 11:18:57,2025-10-10 00:18:57,Software,Linux,Low,Low,Medium,In Progress,Security Team,Jordan Morse,Bangalore,Sales,CRM Server,Full drug off imagine couple finish staff you project.,4,No,28,Paul Jackson,Oct-2025,Q4
INC103951,2026-02-09 16:04:32,2026-02-13 16:04:32,2026-02-14 13:04:32,Cloud,Windows,Medium,High,Low,Closed,Cloud Team,Nancy Calderon,Mumbai,Finance,Oracle DB,Writer news eat main whatever floor kind.,3,No,96,Steven Flores,Feb-2026,Q1
INC103952,2021-09-14 23:22:15,2021-09-16 11:22:15,2021-09-17 03:22:15,Network,Oracle,Low,Low,Medium,Resolved,Network Team,Abigail Olson,Pune,Sales,CRM Server,It agreement well Democrat dog others else.,4,Yes,36,Terrence Bullock,Sep-2021,Q3
INC103953,2023-04-11 04:01:42,2023-04-12 05:01:42,2023-04-12 22:01:42,Security,Firewall,Medium,High,Low,New,Security Team,Kathy French,Delhi,IT,Exchange Server,System the interview single early quality ask east action system.,3,Yes,25,Tyler Hogan,Apr-2023,Q2
INC103954,2025-02-18 15:45:17,2025-02-21 20:45:17,2025-02-21 22:45:17,Software,Firewall,Critical,Medium,Low,In Progress,Windows Team,Jesus Pham,Delhi,Marketing,Exchange Server,Value big door include leave help he.,2,Yes,77,Julie Flores,Feb-2025,Q1
INC103955,2022-05-23 17:06:11,2022-05-26 12:06:11,2022-05-26 16:06:11,Database,VPN,Low,High,Low,Closed,Cloud Team,James Johnson,Hyderabad,HR,CRM Server,Detail new field time former allow value address.,0,No,67,Michael Cross,May-2022,Q2
INC103956,2024-03-26 22:00:25,2024-03-30 07:00:25,2024-03-30 13:00:25,Application,VPN,High,Medium,Medium,New,Cloud Team,Alicia Mullins,Bangalore,IT,SAP Server,Particular professional side home to air TV teacher main.,5,No,81,Brian Turner,Mar-2024,Q1
INC103957,2024-03-02 23:23:47,2024-03-05 04:23:47,2024-03-05 19:23:47,Network,Windows,Low,Medium,Low,New,Linux Team,Wendy Kennedy,Mumbai,Sales,Power BI Server,Positive present audience at song heavy wide sell plant cold.,4,Yes,53,John Lawrence,Mar-2024,Q1
INC103958,2024-10-15 20:37:05,2024-10-18 15:37:05,2024-10-18 20:37:05,Security,Printer,Medium,Medium,Low,Closed,Service Desk,Roger Edwards,Chennai,Support,SAP Server,Knowledge current boy line thank research speak.,0,No,67,Amy Edwards,Oct-2024,Q4
INC103959,2024-10-14 07:44:08,2024-10-16 06:44:08,2024-10-16 11:44:08,Database,Laptop,Medium,Low,Medium,On Hold,Network Team,Christopher Mills,Kolkata,IT,Active Directory,Dog laugh small until usually hundred state.,1,Yes,47,Andrea Oliver,Oct-2024,Q4
INC103960,2023-06-05 17:39:39,2023-06-08 20:39:39,2023-06-09 15:39:39,Email,Laptop,Critical,Low,Low,New,Linux Team,Mark Ortega,Bangalore,Sales,Exchange Server,Positive war share agent exactly front party interest.,4,Yes,75,Cody Williams,Jun-2023,Q2
INC103961,2022-08-22 10:00:21,2022-08-22 19:00:21,2022-08-23 08:00:21,Database,Laptop,Critical,Medium,Medium,On Hold,Service Desk,Jill Lee MD,Delhi,HR,CRM Server,Interest network herself join officer then structure admit nation meeting account.,5,No,9,Brandon Clay,Aug-2022,Q3
INC103962,2025-01-03 12:59:34,2025-01-07 02:59:34,2025-01-07 11:59:34,Email,Linux,Critical,Medium,High,Closed,Application Support,Shannon Sanchez,Hyderabad,IT,Oracle DB,Item south cover condition sign industry fear.,4,No,86,Jessica Frederick,Jan-2025,Q1
INC103963,2024-06-10 14:44:04,2024-06-14 13:44:04,2024-06-15 00:44:04,Application,Linux,Critical,Low,High,On Hold,Windows Team,Darren Young,Kolkata,Operations,Active Directory,Point so sound arrive people policy enjoy share involve me.,0,Yes,95,Melissa Rosales,Jun-2024,Q2
INC103964,2024-01-15 21:11:04,2024-01-17 20:11:04,2024-01-18 13:11:04,Cloud,Oracle,High,High,Medium,Closed,Database Team,Michelle Owens,Chennai,Support,Power BI Server,Society development rest poor responsibility police agreement.,4,Yes,47,Antonio Rodriguez,Jan-2024,Q1
INC103965,2021-12-18 11:40:43,2021-12-21 13:40:43,2021-12-21 21:40:43,Application,Printer,Low,Medium,Low,New,Application Support,George Hernandez,Pune,IT,Web Server,Institution create example necessary network hand miss better.,2,Yes,74,Nathan Ward,Dec-2021,Q4
INC103966,2024-10-01 16:09:55,2024-10-03 18:09:55,2024-10-03 23:09:55,Security,Firewall,Critical,Medium,High,On Hold,Network Team,Megan Wilson,Bangalore,Support,Power BI Server,Consider goal though relate meeting.,4,Yes,50,Kimberly Williamson,Oct-2024,Q4
INC103967,2022-11-22 16:22:32,2022-11-24 09:22:32,2022-11-24 10:22:32,Software,Laptop,Low,Low,Medium,Resolved,Windows Team,Mitchell Holland,Hyderabad,IT,Exchange Server,Give enough hit where personal fear table.,5,No,41,Pamela Harris,Nov-2022,Q4
INC103968,2021-08-08 20:37:21,2021-08-12 04:37:21,2021-08-12 05:37:21,Software,Server,Medium,High,Low,On Hold,Application Support,Jennifer Estrada,Delhi,Sales,Power BI Server,The hotel foreign staff science ask mission report.,5,Yes,80,Brian Barnes,Aug-2021,Q3
INC103969,2023-10-30 23:03:28,2023-11-02 14:03:28,2023-11-02 16:03:28,Email,VPN,Critical,Low,High,Closed,Windows Team,Mr. David Wilson,Delhi,HR,SAP Server,Market could produce indicate politics soldier lot within man peace.,2,No,63,Melissa Hopkins,Oct-2023,Q4
INC103970,2025-07-25 23:59:10,2025-07-28 23:59:10,2025-07-29 11:59:10,Email,Linux,Low,Medium,High,New,Database Team,Kelly Landry,Mumbai,Finance,SAP Server,Identify finish serious possible peace better.,3,Yes,72,Antonio Rodriguez,Jul-2025,Q3
INC103971,2024-07-18 00:09:32,2024-07-21 07:09:32,2024-07-22 07:09:32,Application,Laptop,High,Medium,Medium,Resolved,Database Team,Felicia Brown,Kolkata,Sales,Web Server,Audience beyond crime beat anything although century side right.,3,Yes,79,Hannah Steele,Jul-2024,Q3
INC103972,2022-11-22 11:51:31,2022-11-25 23:51:31,2022-11-26 08:51:31,Hardware,Linux,Critical,Medium,High,On Hold,Application Support,Linda Thompson,Delhi,Sales,SAP Server,Practice save mother window treatment just cause teach official himself.,4,No,84,Felicia Parrish,Nov-2022,Q4
INC103973,2021-01-19 22:14:48,2021-01-23 10:14:48,2021-01-24 09:14:48,Hardware,Printer,Medium,Medium,High,On Hold,Database Team,Carl Khan,Kolkata,IT,Active Directory,Rich former another record Mrs treatment none employee land close.,0,Yes,84,Charles Cox,Jan-2021,Q1
INC103974,2023-06-07 21:20:54,2023-06-09 02:20:54,2023-06-09 18:20:54,Hardware,Server,Medium,Medium,High,On Hold,Application Support,Christopher Smith,Delhi,Support,CRM Server,Report why of nation woman easy investment support clearly avoid.,3,No,29,Emma Cowan,Jun-2023,Q2
INC103975,2025-10-06 09:22:47,2025-10-09 23:22:47,2025-10-10 01:22:47,Email,Printer,Critical,Low,High,New,Windows Team,Amanda Valencia,Delhi,IT,Power BI Server,Live loss later town agreement son own enough success figure.,5,No,86,Kelly Stanley,Oct-2025,Q4
INC103976,2023-01-26 05:34:41,2023-01-27 16:34:41,2023-01-27 20:34:41,Network,Laptop,Critical,High,High,Closed,Database Team,Jake Howard,Mumbai,Marketing,CRM Server,Special history site finish dinner nice morning organization.,0,Yes,35,Mrs. Angel Gibson,Jan-2023,Q1
INC103977,2021-04-10 11:19:41,2021-04-12 17:19:41,2021-04-13 00:19:41,Application,Firewall,Critical,High,High,In Progress,Network Team,Daniel Patterson,Bangalore,HR,Exchange Server,Little affect thus measure think rise because ago usually.,0,No,54,April Nguyen,Apr-2021,Q2
INC103978,2022-11-13 22:41:43,2022-11-15 04:41:43,2022-11-15 23:41:43,Software,SQL,Low,Medium,High,Closed,Application Support,Samuel Mendoza,Pune,Operations,VPN Gateway,Process amount record local control best yes gun.,2,Yes,30,Lisa Palmer,Nov-2022,Q4
INC103979,2024-09-21 15:57:05,2024-09-22 11:57:05,2024-09-23 03:57:05,Database,Server,Low,Medium,Medium,In Progress,Windows Team,Kevin Ramos,Pune,Sales,VPN Gateway,Compare strategy on if need.,5,Yes,20,Samuel Brown,Sep-2024,Q3
INC103980,2025-01-10 13:14:01,2025-01-10 23:14:01,2025-01-11 21:14:01,Hardware,Oracle,Critical,Medium,High,In Progress,Network Team,Juan Lopez,Bangalore,Support,SAP Server,Action town mean break heart threat.,4,No,10,Michelle Mccoy,Jan-2025,Q1
INC103981,2024-12-13 10:00:22,2024-12-14 13:00:22,2024-12-15 07:00:22,Hardware,Printer,Medium,Low,Low,Resolved,Service Desk,Amanda Jefferson,Pune,IT,SAP Server,Report bar long article east information century too.,2,No,27,Amanda Underwood,Dec-2024,Q4
INC103982,2025-04-08 18:57:27,2025-04-10 03:57:27,2025-04-10 05:57:27,Cloud,VPN,High,High,Low,Resolved,Service Desk,Joseph Romero,Kolkata,Marketing,Power BI Server,Eight music reality purpose finally on beautiful street allow black.,2,Yes,33,Johnny Shepherd,Apr-2025,Q2
INC103983,2022-06-04 07:47:06,2022-06-05 06:47:06,2022-06-06 00:47:06,Security,VPN,Medium,Low,Medium,Closed,Service Desk,Richard Lucas,Kolkata,Support,Oracle DB,Key school wear art.,4,No,23,Kyle Frank,Jun-2022,Q2
INC103984,2022-03-20 17:30:10,2022-03-21 21:30:10,2022-03-22 13:30:10,Email,Firewall,Critical,Medium,High,Closed,Service Desk,Rhonda Fuentes,Mumbai,HR,Web Server,Challenge single agent region picture use wear them.,5,Yes,28,Evan Chambers,Mar-2022,Q1
INC103985,2025-09-07 18:09:02,2025-09-08 07:09:02,2025-09-08 16:09:02,Network,SQL,High,High,High,In Progress,Network Team,Audrey Smith,Hyderabad,Support,Web Server,Report management will what development man skin someone behavior herself place.,1,Yes,13,Charles Holt,Sep-2025,Q3
INC103986,2025-08-28 13:33:51,2025-08-31 03:33:51,2025-09-01 01:33:51,Software,SQL,Medium,High,Low,Resolved,Database Team,Allen Carter,Pune,HR,Active Directory,Serve school she seat realize.,2,No,62,Christine Schmitt,Aug-2025,Q3
INC103987,2025-12-10 14:59:21,2025-12-12 05:59:21,2025-12-13 04:59:21,Application,Windows,High,High,Medium,New,Database Team,Michael Lopez,Delhi,Operations,VPN Gateway,Generation statement conference culture oil admit child recently.,2,Yes,39,Nicole Fox,Dec-2025,Q4
INC103988,2025-06-03 06:24:46,2025-06-04 05:24:46,2025-06-05 00:24:46,Network,SQL,Medium,Medium,Low,In Progress,Database Team,Tina Gill,Chennai,HR,Web Server,Reduce fly traditional during prepare themselves catch.,2,Yes,23,Nathan Ward,Jun-2025,Q2
INC103989,2025-05-19 02:28:29,2025-05-21 18:28:29,2025-05-21 20:28:29,Hardware,Windows,High,Low,Low,Closed,Network Team,Kelsey Johnson,Kolkata,IT,CRM Server,Fill six girl method half clear.,5,Yes,64,Olivia Harper,May-2025,Q2
INC103990,2026-02-20 02:55:52,2026-02-22 00:55:52,2026-02-22 13:55:52,Email,Printer,Medium,Medium,Low,Resolved,Cloud Team,Maria Martinez,Pune,IT,VPN Gateway,Soon yeah yeah first but control huge those short would.,1,Yes,46,Ashley Lewis DVM,Feb-2026,Q1
INC103991,2021-02-03 18:21:39,2021-02-07 05:21:39,2021-02-08 00:21:39,Email,Printer,High,High,Low,In Progress,Application Support,Paul Lee,Chennai,Sales,Oracle DB,Teach laugh economic campaign culture finally tough can spring nice.,5,No,83,Mathew Brown,Feb-2021,Q1
